fold,test_loss,test_accuracy,meningioma_precision,meningioma_recall,meningioma_f1,meningioma_auc,glioma_precision,glioma_recall,glioma_f1,glioma_auc,pituitary_precision,pituitary_recall,pituitary_f1,pituitary_auc
1,0.7111733708104524,0.7047970479704797,0.4798206278026906,0.9553571428571429,0.6388059701492538,0.8218853820598007,1.0,0.39591836734693875,0.5672514619883041,0.8693877551020408,0.8018018018018018,0.9621621621621622,0.8746928746928747,0.9808918161859338
2,0.4741033537749514,0.8055964653902798,0.8192771084337349,0.40718562874251496,0.544,0.8666670565119761,0.9472049689440993,0.9023668639053254,0.9242424242424242,0.9611003140779816,0.635036496350365,1.0,0.7767857142857143,0.9247524752475247
3,0.1463745322362992,0.9405594405594405,0.9230769230769231,0.8633093525179856,0.8921933085501859,0.9877548307774104,0.9316239316239316,0.9437229437229437,0.9376344086021505,0.9914943316702848,0.9615384615384616,0.9900990099009901,0.975609756097561,0.9993176344661494
4,0.31404133327008715,0.8726114649681529,0.7692307692307693,0.5645161290322581,0.6511627906976745,0.9629816308243727,0.8465608465608465,0.9846153846153847,0.9103840682788051,0.9881035795887281,0.9937106918238994,0.88268156424581,0.9349112426035503,0.98937427679138
5,0.50949801413942,0.8678071539657853,0.853448275862069,0.5963855421686747,0.7021276595744681,0.9051425829102573,0.8870967741935484,0.9581881533101045,0.9212730318257957,0.9865423012175547,0.847926267281106,0.968421052631579,0.9041769041769042,0.9708202625769722
