fold,test_loss,test_accuracy,meningioma_precision,meningioma_recall,meningioma_f1,meningioma_auc,glioma_precision,glioma_recall,glioma_f1,glioma_auc,pituitary_precision,pituitary_recall,pituitary_f1,pituitary_auc
1,3.3071183427013593,0.3413284132841328,0.0,0.0,0.0,0.6332848837209303,0.0,0.0,0.0,0.1859685288256717,0.3413284132841328,1.0,0.5089408528198074,0.25369823605117725
2,0.8889078223125924,0.6524300441826215,0.0,0.0,0.0,0.5863936190119761,0.7292225201072386,0.8047337278106509,0.7651195499296765,0.8174356660709017,0.5588235294117647,0.9827586206896551,0.7125,0.9699897575964493
3,0.7411072529279269,0.6923076923076923,0.803030303030303,0.381294964028777,0.5170731707317073,0.8430558093940553,0.5830903790087464,0.8658008658008658,0.6968641114982579,0.8450444960708889,0.8773006134969326,0.7079207920792079,0.7835616438356164,0.9342386941396843
4,1.3817734450967922,0.6385350318471338,0.0,0.0,0.0,0.37195980542754736,0.596078431372549,0.9353846153846154,0.7281437125748503,0.7736379791825337,0.8220338983050848,0.5418994413407822,0.6531986531986532,0.9350760846574013
5,0.6531085271857575,0.7371695178849145,0.7291666666666666,0.42168674698795183,0.5343511450381679,0.818658280922432,0.6848958333333334,0.9163763066202091,0.7839046199701938,0.9129409231491994,0.8650306748466258,0.7421052631578947,0.7988668555240793,0.9594051353549437
