fold,test_loss,test_accuracy,meningioma_precision,meningioma_recall,meningioma_f1,meningioma_auc,glioma_precision,glioma_recall,glioma_f1,glioma_auc,pituitary_precision,pituitary_recall,pituitary_f1,pituitary_auc
1,0.19563728837103916,0.9354243542435424,0.9081632653061225,0.7946428571428571,0.8476190476190476,0.979360465116279,0.9873949579831933,0.9591836734693877,0.9730848861283644,0.9965642822785681,0.8883495145631068,0.9891891891891892,0.9360613810741688,0.995185101067454
2,0.5134298085037547,0.8350515463917526,0.8709677419354839,0.48502994011976047,0.6230769230769231,0.9598732223053892,0.9130434782608695,0.9319526627218935,0.9224011713030746,0.9803137309340784,0.7095435684647303,0.9827586206896551,0.8240963855421687,0.9907704563559805
3,0.3375011725136294,0.8916083916083916,0.8133333333333334,0.8776978417266187,0.8442906574394463,0.9740309369132869,0.9841269841269841,0.8051948051948052,0.8857142857142857,0.9892092267458836,0.8669527896995708,1.0,0.9287356321839081,0.9994112924805995
4,0.229152016599276,0.8964968152866242,0.9166666666666666,0.6209677419354839,0.7403846153846154,0.9715661802355351,0.9566563467492261,0.9507692307692308,0.9537037037037037,0.9936430566133536,0.8009049773755657,0.9888268156424581,0.885,0.9957945029923729
5,0.915338602562201,0.8133748055987559,0.848,0.6385542168674698,0.7285223367697594,0.8576823015331766,0.9504132231404959,0.8013937282229965,0.8695652173913043,0.9707845593704733,0.677536231884058,0.9842105263157894,0.8025751072961373,0.9669455094690368
