fold,test_loss,test_accuracy,meningioma_precision,meningioma_recall,meningioma_f1,meningioma_auc,glioma_precision,glioma_recall,glioma_f1,glioma_auc,pituitary_precision,pituitary_recall,pituitary_f1,pituitary_auc
1,0.8839100269373933,0.5922509225092251,0.0,0.0,0.0,0.6324958471760798,0.7315789473684211,0.5673469387755102,0.639080459770115,0.8187040472754759,0.5170454545454546,0.9837837837837838,0.6778398510242085,0.9473692179574532
2,0.7527174789003139,0.6524300441826215,0.0,0.0,0.0,0.7180716691616766,0.6488222698072805,0.8964497041420119,0.7527950310559006,0.8369484113900987,0.660377358490566,0.8045977011494253,0.7253886010362695,0.9200409696142028
3,0.8320191089923565,0.6381118881118881,0.0,0.0,0.0,0.7630468373569043,0.5661538461538461,0.7965367965367965,0.6618705035971223,0.786406164705285,0.7327935222672065,0.8960396039603961,0.8062360801781737,0.9267795022745517
4,2.9465542951210217,0.4315286624203822,0.0,0.0,0.0,0.5724846390168971,0.8761904761904762,0.28307692307692306,0.42790697674418604,0.8204315816197004,0.3422562141491396,1.0,0.50997150997151,0.948980353610133
5,0.8170341015047456,0.6485225505443235,0.0,0.0,0.0,0.6911419261953473,0.5915178571428571,0.9233449477351916,0.7210884353741497,0.8052206083858592,0.7794871794871795,0.8,0.7896103896103897,0.937364935517602
