fold,test_loss,test_accuracy,meningioma_precision,meningioma_recall,meningioma_f1,meningioma_auc,glioma_precision,glioma_recall,glioma_f1,glioma_auc,pituitary_precision,pituitary_recall,pituitary_f1,pituitary_auc
1,0.35882326101409995,0.8394833948339483,0.6805555555555556,0.4375,0.532608695652174,0.9319559800664452,0.8339350180505415,0.9428571428571428,0.8850574712643678,0.9798117226688655,0.9067357512953368,0.9459459459459459,0.9259259259259259,0.9901128018775077
2,0.5848000647832087,0.7452135493372607,0.7254901960784313,0.2215568862275449,0.3394495412844037,0.7751216317365269,0.964516129032258,0.8846153846153846,0.9228395061728395,0.9581807770393378,0.5345911949685535,0.9770114942528736,0.6910569105691057,0.8824854899283032
3,0.793136598047364,0.7237762237762237,0.6551724137931034,0.6834532374100719,0.6690140845070423,0.8985162908933824,1.0,0.5064935064935064,0.6724137931034483,0.8930570895380279,0.6516129032258065,1.0,0.7890625,0.9985951297832486
4,0.6636294879398907,0.7404458598726115,0.5972222222222222,0.3467741935483871,0.4387755102040816,0.8720878136200716,0.9878048780487805,0.7476923076923077,0.851138353765324,0.9500583904544301,0.5774193548387097,1.0,0.7321063394683026,0.9894613728832539
5,0.768196733335314,0.6547433903576982,0.14285714285714285,0.012048192771084338,0.022222222222222223,0.5705842236872016,0.5974842767295597,0.9930313588850174,0.7460732984293194,0.7986826136319148,0.881578947368421,0.7052631578947368,0.783625730994152,0.9317067503195073
